SSID,MAC,X,Y,Z,Covariance
CARE-TB-15106e798aa44361,e4:b3:18:e8:78:3a,-4.7998649179935455,-9.78779536485672,0.658434740267694,"[12.798785779158319, 10.55409311375227, -0.3380991884592042, 10.55409311375227, 30.08865544531676, 0.032524414652620834, -0.3380991884592042, 0.032524414652620834, 0.01411760652770179]"
CARE-TB-2dbc348a4f7c4b7b,f4:b3:1:6d:d1:a7,-5.110129509653364,-10.633465826511383,0.6569203447018351,"[13.256119084346116, 10.172866702414417, -0.36584263489464036, 10.172866702414417, 28.52850656916805, 0.017296706306881474, -0.36584263489464036, 0.017296706306881474, 0.015101470793523657]"
CARE-TB-51b6269178ed47c1,a4:34:d9:9f:f0:29,-5.034534800437189,-9.951965270503875,0.6651728355115459,"[11.449411317314889, 9.661724291636864, -0.2984063172927699, 9.661724291636864, 30.196800980429096, 0.06897174805242555, -0.2984063172927699, 0.06897174805242555, 0.013120151509398655]"
DIRECT-273CE938,fa:d0:27:3c:69:38,-4.972256561120351,-10.286469999949137,0.6584241439898809,"[13.122982639268614, 9.84706713940006, -0.3590892398917993, 9.84706713940006, 28.092666488699624, 0.03564476536244176, -0.3590892398917993, 0.03564476536244176, 0.015012215207882628]"
DIRECT-f4-HP M209 LaserJet,5e:fb:3a:a9:33:f4,-6.769826991217477,-15.061766386032104,0.6571411511727742,"[5.982027266713331, -1.9617005030565338, -0.22713298635921403, -1.9617005030565338, 10.654171149617557, 0.23941667210338582, -0.22713298635921403, 0.23941667210338582, 0.012104204731817864]"
FASTWEB-1-271185,e0:b9:e5:27:11:85,-1.5348312854766846,-1.539939532832553,0.6276514331499735,"[1.4580485279581787, 1.3943774837915648, -0.05782063419637258, 1.3943774837915648, 1.4096085968425422, -0.05787699857115294, -0.05782063419637258, -0.05787699857115294, 0.002380478747507513]"
HANDHY,4e:66:ff:83:94:6a,-2.628012776374817,-3.8681021332740784,0.6690355092287064,"[4.206662099924998, -1.4706916328698085, -0.17020740943489976, -1.4706916328698085, 0.9608199143057838, 0.06740031562356652, -0.17020740943489976, 0.06740031562356652, 0.0071021266068747035]"
HANDHY,4e:47:ff:83:95:4b,-4.833322810090107,-11.625745337942373,0.6317478923693948,"[15.668442927176816, 12.574736188154667, -0.41391088312150137, 12.574736188154667, 27.19900515452706, -0.08904426921328787, -0.41391088312150137, -0.08904426921328787, 0.015211401209676971]"
HANDHY,4e:68:ff:8e:2b:6c,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
HANDHY,4e:46:ff:83:95:4a,-6.168823599815369,-13.812066078186035,0.6573989152908325,"[9.82990096679439, 3.399722181286055, -0.2980469487793686, 3.399722181286055, 18.487903649645006, 0.15880986274205214, -0.2980469487793686, 0.15880986274205214, 0.013812346268152023]"
HANDHY,4e:65:ff:83:94:69,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
HANDHY,4e:3b:ff:83:95:3f,-4.257194722852399,-9.114778808062717,0.6250393707906047,"[13.44630289622702, 12.848019127869318, -0.4295921041259505, 12.848019127869318, 35.794646712201164, -0.1868806893440779, -0.4295921041259505, -0.1868806893440779, 0.02675292685865491]"
HANDHY,4e:c1:ff:8e:2b:c5,-7.058511058489482,-16.25380023320516,0.6531514972448349,"[7.549080152528526, -4.696942393687771, -0.3622367514464771, -4.696942393687771, 3.3379866488653285, 0.22840030690686555, -0.3622367514464771, 0.22840030690686555, 0.017778807356366423]"
HANDHY,4e:3a:ff:83:95:3e,-3.8710369940461784,-8.80967646325007,0.6143211568224018,"[12.571470377156858, 12.83604968014291, -0.38752368199140236, 12.83604968014291, 36.43788970927873, -0.173215343443503, -0.38752368199140236, -0.173215343443503, 0.026211040333222822]"
HANDHY,4e:c2:ff:8e:2b:c6,-6.849745670954387,-15.9769500096639,0.6488298699259758,"[6.070721665286502, -4.194988260413248, -0.2774891091711815, -4.194988260413248, 4.284420759490077, 0.21104966061746447, -0.2774891091711815, 0.21104966061746447, 0.013394473215236402]"
HANDHY,4e:67:ff:8e:2b:6b,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
HANDHY,4e:ec:ff:8e:2b:e0,-5.261938677384303,-10.503090717489473,0.6630504406415499,"[11.252567981702057, 10.76415682228665, -0.2642486387322166, 10.76415682228665, 35.11531327021815, 0.08369730755335832, -0.2642486387322166, 0.08369730755335832, 0.011388328367706804]"
HANDHY,4e:eb:ff:8e:2b:ef,-5.0945726116498316,-10.221528728803,0.6633880207935969,"[12.20368115796416, 9.310261688862195, -0.3342778392086668, 9.310261688862195, 28.921817727939743, 0.06406413547604373, -0.3342778392086668, 0.06406413547604373, 0.014512428689994096]"
HIPERT,4e:c2:ff:8e:2b:c3,-6.567436131564054,-15.60373661734841,0.6464392840862274,"[6.671320397448181, -2.7923815294674053, -0.2814205569526051, -2.7923815294674053, 8.494634997962018, 0.21092796575141712, -0.2814205569526051, 0.21092796575141712, 0.013409802023528301]"
HIPERT,4e:c1:ff:8e:2b:c2,-6.780858244214739,-14.922992297581263,0.668744078704289,"[6.900445132971777, -1.4788135311402528, -0.2683587365251925, -1.4788135311402528, 10.211536091814418, 0.1705771927931358, -0.2683587365251925, 0.1705771927931358, 0.012027513303427162]"
HIPERT,4e:66:ff:83:94:67,-2.628012776374817,-3.8681021332740784,0.6690355092287064,"[4.206662099924998, -1.4706916328698085, -0.17020740943489976, -1.4706916328698085, 0.9608199143057838, 0.06740031562356652, -0.17020740943489976, 0.06740031562356652, 0.0071021266068747035]"
HIPERT,4e:3b:ff:83:95:3c,-3.2934479761123656,-8.676970230359585,0.5875770032405854,"[11.461080352834843, 13.15707585676792, -0.3400130428461475, 13.15707585676792, 41.32506668454967, -0.15768652319058174, -0.3400130428461475, -0.15768652319058174, 0.025457179501647498]"
HIPERT,4e:47:ff:83:95:48,-4.833322810090107,-11.625745337942373,0.6317478923693948,"[15.668442927176816, 12.574736188154667, -0.41391088312150137, 12.574736188154667, 27.19900515452706, -0.08904426921328787, -0.41391088312150137, -0.08904426921328787, 0.015211401209676971]"
HIPERT,4e:46:ff:83:95:47,-6.842214359956629,-14.07488618177526,0.6755160671823165,"[5.098599332135025, -1.720919660938285, -0.19237493235129016, -1.720919660938285, 13.723248725883149, 0.28259398683058606, -0.19237493235129016, 0.28259398683058606, 0.011555047938221763]"
HIPERT,4e:68:ff:8e:2b:69,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
HIPERT,4e:eb:ff:8e:2b:ec,-4.7998649179935455,-9.78779536485672,0.658434740267694,"[12.798785779158319, 10.55409311375227, -0.3380991884592042, 10.55409311375227, 30.08865544531676, 0.032524414652620834, -0.3380991884592042, 0.032524414652620834, 0.01411760652770179]"
HIPERT,4e:3a:ff:83:95:3b,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
HIPERT,4e:67:ff:8e:2b:68,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
HIPERT,4e:65:ff:83:94:66,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
HIPERT,4e:ec:ff:8e:2b:ed,-5.892311535098336,-11.980841224843806,0.6716780229048296,"[10.134259132645608, 5.98671051336405, -0.2751040904715084, 5.98671051336405, 26.33842153918198, 0.18127004175643088, -0.2751040904715084, 0.18127004175643088, 0.013277259509609196]"
IDEATIVA,4e:67:ff:8e:2b:6d,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
IDEATIVA,4e:47:ff:83:95:4d,-4.952403225681999,-11.955001029101284,0.6304671615362167,"[16.054501534728757, 12.244533301396489, -0.4362327432496309, 12.244533301396489, 25.941909436949665, -0.1027905580560406, -0.4362327432496309, -0.1027905580560406, 0.01586510229364735]"
IDEATIVA,4e:46:ff:83:95:4c,-5.084975639979045,-13.37353064219157,0.6135499874750773,"[18.023303454501356, 12.897021676661922, -0.4960974855660219, 12.897021676661922, 24.85388880041506, -0.1704065755779987, -0.4960974855660219, -0.1704065755779987, 0.016499353238887415]"
IDEATIVA,4e:65:ff:83:94:6b,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
IDEATIVA,4e:eb:ff:8e:2b:e1,-5.0945726116498316,-10.221528728803,0.6633880207935969,"[12.20368115796416, 9.310261688862195, -0.3342778392086668, 9.310261688862195, 28.921817727939743, 0.06406413547604373, -0.3342778392086668, 0.06406413547604373, 0.014512428689994096]"
IDEATIVA,4e:3b:ff:83:95:31,-4.257194722852399,-9.114778808062717,0.6250393707906047,"[13.44630289622702, 12.848019127869318, -0.4295921041259505, 12.848019127869318, 35.794646712201164, -0.1868806893440779, -0.4295921041259505, -0.1868806893440779, 0.02675292685865491]"
IDEATIVA,4e:c1:ff:8e:2b:c7,-6.277416801452636,-15.743729305267333,0.6346242755651474,"[6.413229106971975, -2.625013241135976, -0.2718702232258782, -2.625013241135976, 9.128521018379805, 0.21382659951939811, -0.2718702232258782, 0.21382659951939811, 0.013215243535996006]"
IDEATIVA,4e:3a:ff:83:95:30,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
IDEATIVA,4e:66:ff:83:94:6c,-0.8073239667075021,-4.191821609224592,0.5801973811217717,"[7.673010652302283, -1.699423724565253, -0.34599002214567004, -1.699423724565253, 0.69507020845972, 0.07970005027811368, -0.34599002214567004, 0.07970005027811368, 0.015985416522110298]"
IDEATIVA,4e:c2:ff:8e:2b:c8,-6.313343260023329,-16.65969138675266,0.621433460050159,"[6.756277075120521, -4.034390399933384, -0.30272067472889713, -4.034390399933384, 2.7133533106474332, 0.18540943211320976, -0.30272067472889713, 0.18540943211320976, 0.01420955083467841]"
IDEATIVA,4e:68:ff:8e:2b:6e,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
IDEATIVA,4e:ec:ff:8e:2b:e2,-4.7479133776256015,-10.261751806474335,0.6462363231749761,"[10.077546204834688, 9.226085314542344, -0.2452723126500733, 9.226085314542344, 38.326249891013525, 0.17589454443865143, -0.2452723126500733, 0.17589454443865143, 0.011788578993544576]"
Interdamo,d8:ec:e5:78:81:ed,-5.097916762034099,-9.80202047030131,0.6534554759661356,"[5.813725269365073, 10.014445567031707, -0.03894022417561713, 10.014445567031707, 27.219493180426383, 0.09355188670674548, -0.03894022417561713, 0.09355188670674548, 0.0028489716884563003]"
Interdamo,d8:ec:e5:78:81:ee,-4.732501983642578,-4.186487277348836,0.7389282385508219,"[0.18784051870003773, 0.6875382352121733, 0.0014917573523026324, 0.6875382352121733, 2.767243557844356, 0.012173534818674942, 0.0014917573523026324, 0.012173534818674942, 0.00019162085194166263]"
L'inox,c4:6e:1f:e0:55:65,-9.811905860900879,-14.962732950846354,0.7633061210314432,"[7.179065384358788e-05, -0.0007758896445011487, 0.00015499274517575637, -0.0007758896445011487, 0.03477155151166597, -0.007267517481478889, 0.00015499274517575637, -0.007267517481478889, 0.0015199109096223475]"
Mi 11 Lite 5G,fa:e8:c2:1:12:30,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
OPEN ENERGY,4e:68:ff:8e:2b:6d,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
OPEN ENERGY,4e:c2:ff:8e:2b:c7,-6.849745670954387,-15.9769500096639,0.6488298699259758,"[6.070721665286502, -4.194988260413248, -0.2774891091711815, -4.194988260413248, 4.284420759490077, 0.21104966061746447, -0.2774891091711815, 0.21104966061746447, 0.013394473215236402]"
OPEN ENERGY,4e:eb:ff:8e:2b:e0,-5.223807892629078,-10.714689995561328,0.660172127187252,"[12.74280383729137, 9.100788961636903, -0.3606771985973675, 9.100788961636903, 27.25854820538576, 0.041162913236205884, -0.3606771985973675, 0.041162913236205884, 0.015225976409885156]"
OPEN ENERGY,4e:ec:ff:8e:2b:e1,-5.932529259811748,-11.98839900710366,0.6707929535345598,"[10.175258456777298, 5.868225249761918, -0.2772802396928346, 5.868225249761918, 26.292441767438206, 0.17808404104048844, -0.2772802396928346, 0.17808404104048844, 0.013161622496202483]"
OPEN ENERGY,4e:67:ff:8e:2b:6c,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
OPEN ENERGY,4e:c1:ff:8e:2b:c6,-6.850922107696533,-16.386154174804688,0.6669695228338242,"[8.752141529465803, -3.8218940967610706, -0.3664897442975601, -3.8218940967610706, 1.6690145831412337, 0.16003412407219741, -0.3664897442975601, 0.16003412407219741, 0.015360767254741559]"
OPEN ENERGY,4e:66:ff:83:94:6b,-2.628012776374817,-3.8681021332740784,0.6690355092287064,"[4.206662099924998, -1.4706916328698085, -0.17020740943489976, -1.4706916328698085, 0.9608199143057838, 0.06740031562356652, -0.17020740943489976, 0.06740031562356652, 0.0071021266068747035]"
OPEN ENERGY,4e:65:ff:83:94:6a,-4.522711490883546,-9.212174076381523,0.636343488798422,"[13.275398572426939, 12.485842307318595, -0.41764226652932646, 12.485842307318595, 33.62017271413441, -0.1728850656082713, -0.41764226652932646, -0.1728850656082713, 0.0258027718741135]"
OPEN ENERGY,4e:3a:ff:83:95:3f,-4.3133798956871034,-9.52408872943682,0.6416218707958857,"[12.98332493740556, 12.877963298705996, -0.3181938311085422, 12.877963298705996, 34.83751945745868, -0.007672912797727764, -0.3181938311085422, -0.007672912797727764, 0.012863773339247963]"
OPEN ENERGY,4e:47:ff:83:95:4c,-5.170886828785851,-12.31227020990281,0.6349110390458789,"[15.76882974165576, 11.11034224196017, -0.4356456148820335, 11.11034224196017, 24.369130571643765, -0.07275681603079537, -0.4356456148820335, -0.07275681603079537, 0.01618612631419023]"
OPEN ENERGY,4e:3b:ff:83:95:30,-3.982315255062921,-8.981731326468955,0.613547760461058,"[13.715028384751736, 13.286949424066517, -0.43737035479670006, 13.286949424066517, 38.64093659046962, -0.183529692772289, -0.43737035479670006, -0.183529692772289, 0.02813391475304733]"
